#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	ecosystem	isolate	latitude	longitude	season	condition	description
SRR10245319	SRR10245319_1.fastq	SRR10245319_2.fastq	Zebra	Serengeti	Zebra	2.1540	34.6857	Rainy	Processed	Equus burchellii quagga
SRR10245321	SRR10245321_1.fastq	SRR10245321_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245322	SRR10245322_1.fastq	SRR10245322_2.fastq	Cattle	Selous	Cattle	9.0000	37.5000	Dry	Fresh	Bos
SRR10245325	SRR10245325_1.fastq	SRR10245325_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245327	SRR10245327_1.fastq	SRR10245327_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245329	SRR10245329_1.fastq	SRR10245329_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245331	SRR10245331_1.fastq	SRR10245331_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245334	SRR10245334_1.fastq	SRR10245334_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245340	SRR10245340_1.fastq	SRR10245340_2.fastq	Buffalo	Ruaha	Buffalo	7.3860	34.9563	Dry	Fresh	Syncerus caffer
SRR10245342	SRR10245342_1.fastq	SRR10245342_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245343	SRR10245343_1.fastq	SRR10245343_2.fastq	Dikdik	Ruaha	Dikdik	7.3860	34.9563	Dry	Fresh	Madoqua
SRR10245345	SRR10245345_1.fastq	SRR10245345_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245347	SRR10245347_1.fastq	SRR10245347_2.fastq	Buffalo	Serengeti	Buffalo	2.1540	34.6857	Rainy	Fresh	Syncerus caffer
SRR10245348	SRR10245348_1.fastq	SRR10245348_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245350	SRR10245350_1.fastq	SRR10245350_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245351	SRR10245351_1.fastq	SRR10245351_2.fastq	Wildebeest	Serengeti	Wildebeest	2.1540	34.6857	Rainy	Fresh	Connochaetes taurinus
SRR10245352	SRR10245352_1.fastq	SRR10245352_2.fastq	Hare	Selous	Hare	9.0000	37.5000	Rainy	Fresh	Lepus
SRR7450706	SRR7450706_1.fastq	SRR7450706_2.fastq	Wildebeest	Serengeti	Wildebeest	1.7898	34.7548			Connochaetes taurinus
SRR7450707	SRR7450707_1.fastq	SRR7450707_2.fastq	Wildebeest	Serengeti	Wildebeest	2.0509	33.963			Connochaetes taurinus
