#SampleID	BarcodeSequence	ForwardPrimerSequence	ReversePrimerSequence	ForwardRead	ReverseRead	origID	Sex	Time	DayID	DPW	Description
F5D013	NA	NA	NA	F5D13_S259_L001_R1_001.fastq.gz	F5D13_S259_L001_R2_001.fastq.gz	F5D13	Female	Early	D013	13	iMAPcasestudySet
F5D015	NA	NA	NA	F5D15_S260_L001_R1_001.fastq.gz	F5D15_S260_L001_R2_001.fastq.gz	F5D15	Female	Early	D015	15	iMAPcasestudySet
F5D017	NA	NA	NA	F5D17_S261_L001_R1_001.fastq.gz	F5D17_S261_L001_R2_001.fastq.gz	F5D17	Female	Early	D017	17	iMAPcasestudySet
F5D019	NA	NA	NA	F5D19_S262_L001_R1_001.fastq.gz	F5D19_S262_L001_R2_001.fastq.gz	F5D19	Female	Early	D019	19	iMAPcasestudySet
F5D021	NA	NA	NA	F5D21_S263_L001_R1_001.fastq.gz	F5D21_S263_L001_R2_001.fastq.gz	F5D21	Female	Early	D021	21	iMAPcasestudySet
F5D025	NA	NA	NA	F5D25_S264_L001_R1_001.fastq.gz	F5D25_S264_L001_R2_001.fastq.gz	F5D25	Female	Early	D025	25	iMAPcasestudySet
F5D045	NA	NA	NA	F5D45_S265_L001_R1_001.fastq.gz	F5D45_S265_L001_R2_001.fastq.gz	F5D45	Female	Early	D045	45	iMAPcasestudySet
F5D065	NA	NA	NA	F5D65_S266_L001_R1_001.fastq.gz	F5D65_S266_L001_R2_001.fastq.gz	F5D65	Female	Early	D065	65	iMAPcasestudySet
F5D125	NA	NA	NA	F5D125_S267_L001_R1_001.fastq.gz	F5D125_S267_L001_R2_001.fastq.gz	F5D125	Female	Late	D125	125	iMAPcasestudySet
F5D141	NA	NA	NA	F5D141_S268_L001_R1_001.fastq.gz	F5D141_S268_L001_R2_001.fastq.gz	F5D141	Female	Late	D141	141	iMAPcasestudySet
F5D142	NA	NA	NA	F5D142_S269_L001_R1_001.fastq.gz	F5D142_S269_L001_R2_001.fastq.gz	F5D142	Female	Late	D142	142	iMAPcasestudySet
F5D143	NA	NA	NA	F5D143_S270_L001_R1_001.fastq.gz	F5D143_S270_L001_R2_001.fastq.gz	F5D143	Female	Late	D143	143	iMAPcasestudySet
F5D144	NA	NA	NA	F5D144_S271_L001_R1_001.fastq.gz	F5D144_S271_L001_R2_001.fastq.gz	F5D144	Female	Late	D144	144	iMAPcasestudySet
F5D145	NA	NA	NA	F5D145_S272_L001_R1_001.fastq.gz	F5D145_S272_L001_R2_001.fastq.gz	F5D145	Female	Late	D145	145	iMAPcasestudySet
F5D146	NA	NA	NA	F5D146_S273_L001_R1_001.fastq.gz	F5D146_S273_L001_R2_001.fastq.gz	F5D146	Female	Late	D146	146	iMAPcasestudySet
F5D147	NA	NA	NA	F5D147_S274_L001_R1_001.fastq.gz	F5D147_S274_L001_R2_001.fastq.gz	F5D147	Female	Late	D147	147	iMAPcasestudySet
F5D148	NA	NA	NA	F5D148_S275_L001_R1_001.fastq.gz	F5D148_S275_L001_R2_001.fastq.gz	F5D148	Female	Late	D148	148	iMAPcasestudySet
F5D149	NA	NA	NA	F5D149_S276_L001_R1_001.fastq.gz	F5D149_S276_L001_R2_001.fastq.gz	F5D149	Female	Late	D149	149	iMAPcasestudySet
F5D150	NA	NA	NA	F5D150_S277_L001_R1_001.fastq.gz	F5D150_S277_L001_R2_001.fastq.gz	F5D150	Female	Late	D150	150	iMAPcasestudySet
F5D165	NA	NA	NA	F5D165_S278_L001_R1_001.fastq.gz	F5D165_S278_L001_R2_001.fastq.gz	F5D165	Female	Late	D165	165	iMAPcasestudySet
F5D364	NA	NA	NA	F5D364_S279_L001_R1_001.fastq.gz	F5D364_S279_L001_R2_001.fastq.gz	F5D364	Female	Late	D364	364	iMAPcasestudySet
F6D000	NA	NA	NA	F6D0_S284_L001_R1_001.fastq.gz	F6D0_S284_L001_R2_001.fastq.gz	F6D0	Female	Early	D000	0	iMAPcasestudySet
F6D001	NA	NA	NA	F6D1_S285_L001_R1_001.fastq.gz	F6D1_S285_L001_R2_001.fastq.gz	F6D1	Female	Early	D001	1	iMAPcasestudySet
F6D002	NA	NA	NA	F6D2_S286_L001_R1_001.fastq.gz	F6D2_S286_L001_R2_001.fastq.gz	F6D2	Female	Early	D002	2	iMAPcasestudySet
F6D003	NA	NA	NA	F6D3_S287_L001_R1_001.fastq.gz	F6D3_S287_L001_R2_001.fastq.gz	F6D3	Female	Early	D003	3	iMAPcasestudySet
F6D004	NA	NA	NA	F6D4_S288_L001_R1_001.fastq.gz	F6D4_S288_L001_R2_001.fastq.gz	F6D4	Female	Early	D004	4	iMAPcasestudySet
F6D005	NA	NA	NA	F6D5_S289_L001_R1_001.fastq.gz	F6D5_S289_L001_R2_001.fastq.gz	F6D5	Female	Early	D005	5	iMAPcasestudySet
F6D006	NA	NA	NA	F6D6_S290_L001_R1_001.fastq.gz	F6D6_S290_L001_R2_001.fastq.gz	F6D6	Female	Early	D006	6	iMAPcasestudySet
F6D007	NA	NA	NA	F6D7_S291_L001_R1_001.fastq.gz	F6D7_S291_L001_R2_001.fastq.gz	F6D7	Female	Early	D007	7	iMAPcasestudySet
F6D008	NA	NA	NA	F6D8_S292_L001_R1_001.fastq.gz	F6D8_S292_L001_R2_001.fastq.gz	F6D8	Female	Early	D008	8	iMAPcasestudySet
F6D009	NA	NA	NA	F6D9_S293_L001_R1_001.fastq.gz	F6D9_S293_L001_R2_001.fastq.gz	F6D9	Female	Early	D009	9	iMAPcasestudySet
F6D011	NA	NA	NA	F6D11_S294_L001_R1_001.fastq.gz	F6D11_S294_L001_R2_001.fastq.gz	F6D11	Female	Early	D011	11	iMAPcasestudySet
F6D013	NA	NA	NA	F6D13_S295_L001_R1_001.fastq.gz	F6D13_S295_L001_R2_001.fastq.gz	F6D13	Female	Early	D013	13	iMAPcasestudySet
